HKQuantityTypeIdentifierAppleExerciseTime
type,sourceName,sourceVersion,device,unit,creationDate,startDate,endDate,value
HKQuantityTypeIdentifierAppleExerciseTime,Phillip’s Apple Watch,8.1,<<HKDevice: 0x280b821c0> name:Apple Watch manufacturer:Apple Inc. model:Watch hardware:Watch67 software:8.1>,min,2021-11-18 09:02:40 +0200,2021-11-18 09:01:00 +0200,2021-11-18 09:02:00 +0200,1,
HKQuantityTypeIdentifierAppleExerciseTime,Phillip’s Apple Watch,8.1,<<HKDevice: 0x280b821c0> name:Apple Watch manufacturer:Apple Inc. model:Watch hardware:Watch67 software:8.1>,min,2021-11-18 09:03:36 +0200,2021-11-18 09:02:00 +0200,2021-11-18 09:03:00 +0200,1,
HKQuantityTypeIdentifierAppleExerciseTime,Phillip’s Apple Watch,8.1,<<HKDevice: 0x280b821c0> name:Apple Watch manufacturer:Apple Inc. model:Watch hardware:Watch67 software:8.1>,min,2021-11-18 09:05:38 +0200,2021-11-18 09:04:00 +0200,2021-11-18 09:05:00 +0200,1,
HKQuantityTypeIdentifierAppleExerciseTime,Phillip’s Apple Watch,8.1,<<HKDevice: 0x280b821c0> name:Apple Watch manufacturer:Apple Inc. model:Watch hardware:Watch67 software:8.1>,min,2021-11-18 09:07:13 +0200,2021-11-18 09:05:00 +0200,2021-11-18 09:06:00 +0200,1,
HKQuantityTypeIdentifierAppleExerciseTime,Phillip’s Apple Watch,8.1,<<HKDevice: 0x280b821c0> name:Apple Watch manufacturer:Apple Inc. model:Watch hardware:Watch67 software:8.1>,min,2021-11-18 09:07:33 +0200,2021-11-18 09:06:00 +0200,2021-11-18 09:07:00 +0200,1,
HKQuantityTypeIdentifierAppleExerciseTime,Phillip’s Apple Watch,8.1,<<HKDevice: 0x280b821c0> name:Apple Watch manufacturer:Apple Inc. model:Watch hardware:Watch67 software:8.1>,min,2021-11-18 09:09:00 +0200,2021-11-18 09:07:00 +0200,2021-11-18 09:08:00 +0200,1,
HKQuantityTypeIdentifierAppleExerciseTime,Phillip’s Apple Watch,8.1,<<HKDevice: 0x280b821c0> name:Apple Watch manufacturer:Apple Inc. model:Watch hardware:Watch67 software:8.1>,min,2021-11-18 09:09:33 +0200,2021-11-18 09:08:00 +0200,2021-11-18 09:09:00 +0200,1,
HKQuantityTypeIdentifierAppleExerciseTime,Phillip’s Apple Watch,8.1,<<HKDevice: 0x280b821c0> name:Apple Watch manufacturer:Apple Inc. model:Watch hardware:Watch67 software:8.1>,min,2021-11-18 09:10:57 +0200,2021-11-18 09:09:00 +0200,2021-11-18 09:10:00 +0200,1,
HKQuantityTypeIdentifierAppleExerciseTime,Phillip’s Apple Watch,8.1,<<HKDevice: 0x280b821c0> name:Apple Watch manufacturer:Apple Inc. model:Watch hardware:Watch67 software:8.1>,min,2021-11-18 09:11:41 +0200,2021-11-18 09:10:00 +0200,2021-11-18 09:11:00 +0200,1,
HKQuantityTypeIdentifierAppleExerciseTime,Phillip’s Apple Watch,8.1,<<HKDevice: 0x280b821c0> name:Apple Watch manufacturer:Apple Inc. model:Watch hardware:Watch67 software:8.1>,min,2021-11-18 09:13:18 +0200,2021-11-18 09:11:00 +0200,2021-11-18 09:12:00 +0200,1,
HKQuantityTypeIdentifierAppleExerciseTime,Phillip’s Apple Watch,8.1,<<HKDevice: 0x280b821c0> name:Apple Watch manufacturer:Apple Inc. model:Watch hardware:Watch67 software:8.1>,min,2021-11-18 09:13:41 +0200,2021-11-18 09:12:00 +0200,2021-11-18 09:13:00 +0200,1,
HKQuantityTypeIdentifierAppleExerciseTime,Phillip’s Apple Watch,8.1,<<HKDevice: 0x280b821c0> name:Apple Watch manufacturer:Apple Inc. model:Watch hardware:Watch67 software:8.1>,min,2021-11-18 09:14:47 +0200,2021-11-18 09:13:00 +0200,2021-11-18 09:14:00 +0200,1,
HKQuantityTypeIdentifierAppleExerciseTime,Phillip’s Apple Watch,8.1,<<HKDevice: 0x280b821c0> name:Apple Watch manufacturer:Apple Inc. model:Watch hardware:Watch67 software:8.1>,min,2021-11-18 09:19:47 +0200,2021-11-18 09:14:00 +0200,2021-11-18 09:15:00 +0200,1,
HKQuantityTypeIdentifierAppleExerciseTime,Phillip’s Apple Watch,8.1,<<HKDevice: 0x280b821c0> name:Apple Watch manufacturer:Apple Inc. model:Watch hardware:Watch67 software:8.1>,min,2021-11-18 10:16:30 +0200,2021-11-18 10:11:00 +0200,2021-11-18 10:12:00 +0200,1,
HKQuantityTypeIdentifierAppleExerciseTime,Phillip’s Apple Watch,8.1,<<HKDevice: 0x280b821c0> name:Apple Watch manufacturer:Apple Inc. model:Watch hardware:Watch67 software:8.1>,min,2021-11-18 11:33:47 +0200,2021-11-18 11:31:00 +0200,2021-11-18 11:32:00 +0200,1,
HKQuantityTypeIdentifierAppleExerciseTime,Phillip’s Apple Watch,8.1,<<HKDevice: 0x280b821c0> name:Apple Watch manufacturer:Apple Inc. model:Watch hardware:Watch67 software:8.1>,min,2021-11-18 11:33:47 +0200,2021-11-18 11:32:00 +0200,2021-11-18 11:33:00 +0200,1,
HKQuantityTypeIdentifierAppleExerciseTime,Phillip’s Apple Watch,8.1,<<HKDevice: 0x280b821c0> name:Apple Watch manufacturer:Apple Inc. model:Watch hardware:Watch67 software:8.1>,min,2021-11-18 11:34:38 +0200,2021-11-18 11:33:00 +0200,2021-11-18 11:34:00 +0200,1,
HKQuantityTypeIdentifierAppleExerciseTime,Phillip’s Apple Watch,8.1,<<HKDevice: 0x280b821c0> name:Apple Watch manufacturer:Apple Inc. model:Watch hardware:Watch67 software:8.1>,min,2021-11-18 11:38:28 +0200,2021-11-18 11:34:00 +0200,2021-11-18 11:35:00 +0200,1,
HKQuantityTypeIdentifierAppleExerciseTime,Phillip’s Apple Watch,8.1,<<HKDevice: 0x280b821c0> name:Apple Watch manufacturer:Apple Inc. model:Watch hardware:Watch67 software:8.1>,min,2021-11-18 11:49:57 +0200,2021-11-18 11:48:00 +0200,2021-11-18 11:49:00 +0200,1,
