HKQuantityTypeIdentifierEnvironmentalAudioExposure
type,sourceName,sourceVersion,device,unit,creationDate,startDate,endDate,value
HKQuantityTypeIdentifierEnvironmentalAudioExposure,Phillip’s Apple Watch,8.0.1,<<HKDevice: 0x280bfe170> name:Apple Watch manufacturer:Apple Inc. model:Watch hardware:Watch67 software:8.0.1>,dBASPL,2021-11-17 20:36:09 +0200,2021-11-17 20:25:24 +0200,2021-11-17 20:55:14 +0200,71.1848,
HKQuantityTypeIdentifierEnvironmentalAudioExposure,Phillip’s Apple Watch,8.0.1,<<HKDevice: 0x280bfe170> name:Apple Watch manufacturer:Apple Inc. model:Watch hardware:Watch67 software:8.0.1>,dBASPL,2021-11-17 20:55:54 +0200,2021-11-17 20:55:14 +0200,2021-11-17 21:25:14 +0200,59.8979,
HKQuantityTypeIdentifierEnvironmentalAudioExposure,Phillip’s Apple Watch,8.0.1,<<HKDevice: 0x280bfe170> name:Apple Watch manufacturer:Apple Inc. model:Watch hardware:Watch67 software:8.0.1>,dBASPL,2021-11-17 21:26:08 +0200,2021-11-17 21:25:14 +0200,2021-11-17 21:55:04 +0200,55.1519,
HKQuantityTypeIdentifierEnvironmentalAudioExposure,Phillip’s Apple Watch,8.0.1,<<HKDevice: 0x280bfe170> name:Apple Watch manufacturer:Apple Inc. model:Watch hardware:Watch67 software:8.0.1>,dBASPL,2021-11-17 21:56:27 +0200,2021-11-17 21:55:04 +0200,2021-11-17 22:24:54 +0200,59.435,
HKQuantityTypeIdentifierEnvironmentalAudioExposure,Phillip’s Apple Watch,8.0.1,<<HKDevice: 0x280bfe170> name:Apple Watch manufacturer:Apple Inc. model:Watch hardware:Watch67 software:8.0.1>,dBASPL,2021-11-17 22:25:54 +0200,2021-11-17 22:24:54 +0200,2021-11-17 22:54:54 +0200,72.4157,
HKQuantityTypeIdentifierEnvironmentalAudioExposure,Phillip’s Apple Watch,8.0.1,<<HKDevice: 0x280bfe170> name:Apple Watch manufacturer:Apple Inc. model:Watch hardware:Watch67 software:8.0.1>,dBASPL,2021-11-17 22:58:25 +0200,2021-11-17 22:54:54 +0200,2021-11-17 23:24:54 +0200,71.5171,
HKQuantityTypeIdentifierEnvironmentalAudioExposure,Phillip’s Apple Watch,8.0.1,<<HKDevice: 0x280bfe170> name:Apple Watch manufacturer:Apple Inc. model:Watch hardware:Watch67 software:8.0.1>,dBASPL,2021-11-17 23:30:00 +0200,2021-11-17 23:24:54 +0200,2021-11-17 23:47:44 +0200,62.8541,
HKQuantityTypeIdentifierEnvironmentalAudioExposure,Phillip’s Apple Watch,8.1,<<HKDevice: 0x280bfc7d0> name:Apple Watch manufacturer:Apple Inc. model:Watch hardware:Watch67 software:8.1>,dBASPL,2021-12-03 19:01:57 +0200,2021-12-03 18:51:23 +0200,2021-12-03 19:21:13 +0200,72.8003,
HKQuantityTypeIdentifierEnvironmentalAudioExposure,Phillip’s Apple Watch,8.1,<<HKDevice: 0x280bfc7d0> name:Apple Watch manufacturer:Apple Inc. model:Watch hardware:Watch67 software:8.1>,dBASPL,2021-12-03 19:22:23 +0200,2021-12-03 19:21:13 +0200,2021-12-03 19:51:03 +0200,58.3295,
HKQuantityTypeIdentifierEnvironmentalAudioExposure,Phillip’s Apple Watch,8.1,<<HKDevice: 0x280bfc7d0> name:Apple Watch manufacturer:Apple Inc. model:Watch hardware:Watch67 software:8.1>,dBASPL,2021-12-03 19:58:50 +0200,2021-12-03 19:51:03 +0200,2021-12-03 20:20:53 +0200,62.7518,
