HKQuantityTypeIdentifierHeartRateVariabilitySDNN
type,sourceName,sourceVersion,device,unit,creationDate,startDate,endDate,value
HKQuantityTypeIdentifierHeartRateVariabilitySDNN,Phillip’s Apple Watch,8.0.1,<<HKDevice: 0x280bc90e0> name:Apple Watch manufacturer:Apple Inc. model:Watch hardware:Watch67 software:8.0.1>,ms,2021-11-17 20:36:08 +0200,2021-11-17 20:35:06 +0200,2021-11-17 20:36:06 +0200,42.5248,
HKQuantityTypeIdentifierHeartRateVariabilitySDNN,Phillip’s Apple Watch,8.1,<<HKDevice: 0x280bc9130> name:Apple Watch manufacturer:Apple Inc. model:Watch hardware:Watch67 software:8.1>,ms,2021-11-18 16:08:33 +0200,2021-11-18 16:07:29 +0200,2021-11-18 16:08:29 +0200,25.8505,
HKQuantityTypeIdentifierHeartRateVariabilitySDNN,Phillip’s Apple Watch,8.1,<<HKDevice: 0x280bc9130> name:Apple Watch manufacturer:Apple Inc. model:Watch hardware:Watch67 software:8.1>,ms,2021-11-18 20:08:38 +0200,2021-11-18 20:07:32 +0200,2021-11-18 20:08:32 +0200,76.0838,
HKQuantityTypeIdentifierHeartRateVariabilitySDNN,Phillip’s Apple Watch,8.1,<<HKDevice: 0x280bc9130> name:Apple Watch manufacturer:Apple Inc. model:Watch hardware:Watch67 software:8.1>,ms,2021-11-19 12:35:26 +0200,2021-11-19 12:34:20 +0200,2021-11-19 12:35:20 +0200,98.5417,
HKQuantityTypeIdentifierHeartRateVariabilitySDNN,Phillip’s Apple Watch,8.1,<<HKDevice: 0x280bc9130> name:Apple Watch manufacturer:Apple Inc. model:Watch hardware:Watch67 software:8.1>,ms,2021-11-19 21:07:09 +0200,2021-11-19 21:06:08 +0200,2021-11-19 21:07:08 +0200,43.0621,
HKQuantityTypeIdentifierHeartRateVariabilitySDNN,Phillip’s Apple Watch,8.1,<<HKDevice: 0x280bc9130> name:Apple Watch manufacturer:Apple Inc. model:Watch hardware:Watch67 software:8.1>,ms,2021-11-19 21:39:07 +0200,2021-11-19 21:38:06 +0200,2021-11-19 21:39:06 +0200,76.1308,
HKQuantityTypeIdentifierHeartRateVariabilitySDNN,Phillip’s Apple Watch,8.1,<<HKDevice: 0x280bc9130> name:Apple Watch manufacturer:Apple Inc. model:Watch hardware:Watch67 software:8.1>,ms,2021-11-20 19:40:38 +0200,2021-11-20 19:39:37 +0200,2021-11-20 19:40:33 +0200,70.7378,
HKQuantityTypeIdentifierHeartRateVariabilitySDNN,Phillip’s Apple Watch,8.1,<<HKDevice: 0x280bc9130> name:Apple Watch manufacturer:Apple Inc. model:Watch hardware:Watch67 software:8.1>,ms,2021-11-20 19:45:35 +0200,2021-11-20 19:44:29 +0200,2021-11-20 19:45:29 +0200,57.3615,
HKQuantityTypeIdentifierHeartRateVariabilitySDNN,Phillip’s Apple Watch,8.1,<<HKDevice: 0x280bc9130> name:Apple Watch manufacturer:Apple Inc. model:Watch hardware:Watch67 software:8.1>,ms,2021-11-20 20:19:41 +0200,2021-11-20 20:18:41 +0200,2021-11-20 20:19:40 +0200,33.4841,
HKQuantityTypeIdentifierHeartRateVariabilitySDNN,Phillip’s Apple Watch,8.1,<<HKDevice: 0x280bc9130> name:Apple Watch manufacturer:Apple Inc. model:Watch hardware:Watch67 software:8.1>,ms,2021-11-21 00:04:47 +0200,2021-11-21 00:03:43 +0200,2021-11-21 00:04:43 +0200,56.5179,
HKQuantityTypeIdentifierHeartRateVariabilitySDNN,Phillip’s Apple Watch,8.1,<<HKDevice: 0x280bc9130> name:Apple Watch manufacturer:Apple Inc. model:Watch hardware:Watch67 software:8.1>,ms,2021-11-21 11:24:40 +0200,2021-11-21 11:23:34 +0200,2021-11-21 11:24:33 +0200,65.9045,
HKQuantityTypeIdentifierHeartRateVariabilitySDNN,Phillip’s Apple Watch,8.1,<<HKDevice: 0x280bc9130> name:Apple Watch manufacturer:Apple Inc. model:Watch hardware:Watch67 software:8.1>,ms,2021-11-22 09:19:06 +0200,2021-11-22 09:18:00 +0200,2021-11-22 09:18:59 +0200,44.2928,
HKQuantityTypeIdentifierHeartRateVariabilitySDNN,Phillip’s Apple Watch,8.1,<<HKDevice: 0x280bc9130> name:Apple Watch manufacturer:Apple Inc. model:Watch hardware:Watch67 software:8.1>,ms,2021-11-22 11:32:34 +0200,2021-11-22 11:31:28 +0200,2021-11-22 11:32:28 +0200,19.1364,
HKQuantityTypeIdentifierHeartRateVariabilitySDNN,Phillip’s Apple Watch,8.1,<<HKDevice: 0x280bc9130> name:Apple Watch manufacturer:Apple Inc. model:Watch hardware:Watch67 software:8.1>,ms,2021-11-22 15:42:21 +0200,2021-11-22 15:41:14 +0200,2021-11-22 15:42:14 +0200,65.5069,
HKQuantityTypeIdentifierHeartRateVariabilitySDNN,Phillip’s Apple Watch,8.1,<<HKDevice: 0x280bc9130> name:Apple Watch manufacturer:Apple Inc. model:Watch hardware:Watch67 software:8.1>,ms,2021-11-22 19:36:47 +0200,2021-11-22 19:35:43 +0200,2021-11-22 19:36:26 +0200,49.0368,
HKQuantityTypeIdentifierHeartRateVariabilitySDNN,Phillip’s Apple Watch,8.1,<<HKDevice: 0x280bc9130> name:Apple Watch manufacturer:Apple Inc. model:Watch hardware:Watch67 software:8.1>,ms,2021-11-22 23:32:58 +0200,2021-11-22 23:31:56 +0200,2021-11-22 23:32:56 +0200,99.9188,
HKQuantityTypeIdentifierHeartRateVariabilitySDNN,Phillip’s Apple Watch,8.1,<<HKDevice: 0x280bc9130> name:Apple Watch manufacturer:Apple Inc. model:Watch hardware:Watch67 software:8.1>,ms,2021-11-23 09:41:29 +0200,2021-11-23 09:40:28 +0200,2021-11-23 09:41:28 +0200,53.4151,
