HKQuantityTypeIdentifierWalkingAsymmetryPercentage
type,sourceName,sourceVersion,device,unit,creationDate,startDate,endDate,value
HKQuantityTypeIdentifierWalkingAsymmetryPercentage,iPhone 13 Pro,15.0,<<HKDevice: 0x280bc81e0> name:iPhone manufacturer:Apple Inc. model:iPhone hardware:iPhone142 software:15.0>,%,2021-11-08 17:13:48 +0200,2021-11-08 16:59:42 +0200,2021-11-08 16:59:56 +0200,0,
HKQuantityTypeIdentifierWalkingAsymmetryPercentage,iPhone 13 Pro,15.0,<<HKDevice: 0x280bc81e0> name:iPhone manufacturer:Apple Inc. model:iPhone hardware:iPhone142 software:15.0>,%,2021-11-08 18:19:12 +0200,2021-11-08 17:25:53 +0200,2021-11-08 17:26:10 +0200,0,
HKQuantityTypeIdentifierWalkingAsymmetryPercentage,iPhone 13 Pro,15.0,<<HKDevice: 0x280bc81e0> name:iPhone manufacturer:Apple Inc. model:iPhone hardware:iPhone142 software:15.0>,%,2021-11-08 18:19:12 +0200,2021-11-08 18:17:51 +0200,2021-11-08 18:18:08 +0200,0,
HKQuantityTypeIdentifierWalkingAsymmetryPercentage,iPhone 13 Pro,15.0,<<HKDevice: 0x280bc81e0> name:iPhone manufacturer:Apple Inc. model:iPhone hardware:iPhone142 software:15.0>,%,2021-11-08 18:46:04 +0200,2021-11-08 18:29:44 +0200,2021-11-08 18:30:04 +0200,0,
HKQuantityTypeIdentifierWalkingAsymmetryPercentage,iPhone 13 Pro,15.0,<<HKDevice: 0x280bc81e0> name:iPhone manufacturer:Apple Inc. model:iPhone hardware:iPhone142 software:15.0>,%,2021-11-10 23:06:47 +0200,2021-11-10 22:50:01 +0200,2021-11-10 22:51:07 +0200,0,
HKQuantityTypeIdentifierWalkingAsymmetryPercentage,iPhone 13 Pro,15.0,<<HKDevice: 0x280bc81e0> name:iPhone manufacturer:Apple Inc. model:iPhone hardware:iPhone142 software:15.0>,%,2021-11-12 15:08:19 +0200,2021-11-12 14:58:19 +0200,2021-11-12 14:58:53 +0200,0,
HKQuantityTypeIdentifierWalkingAsymmetryPercentage,iPhone 13 Pro,15.0,<<HKDevice: 0x280bc81e0> name:iPhone manufacturer:Apple Inc. model:iPhone hardware:iPhone142 software:15.0>,%,2021-11-12 15:08:19 +0200,2021-11-12 15:01:11 +0200,2021-11-12 15:02:12 +0200,0,
HKQuantityTypeIdentifierWalkingAsymmetryPercentage,iPhone 13 Pro,15.0,<<HKDevice: 0x280bc81e0> name:iPhone manufacturer:Apple Inc. model:iPhone hardware:iPhone142 software:15.0>,%,2021-11-12 16:04:39 +0200,2021-11-12 15:25:59 +0200,2021-11-12 15:26:34 +0200,0,
HKQuantityTypeIdentifierWalkingAsymmetryPercentage,iPhone 13 Pro,15.0,<<HKDevice: 0x280bc81e0> name:iPhone manufacturer:Apple Inc. model:iPhone hardware:iPhone142 software:15.0>,%,2021-11-13 04:40:09 +0200,2021-11-13 03:41:44 +0200,2021-11-13 03:42:30 +0200,0.16,
HKQuantityTypeIdentifierWalkingAsymmetryPercentage,iPhone 13 Pro,15.0,<<HKDevice: 0x280bc81e0> name:iPhone manufacturer:Apple Inc. model:iPhone hardware:iPhone142 software:15.0>,%,2021-11-13 04:40:09 +0200,2021-11-13 03:44:29 +0200,2021-11-13 03:45:05 +0200,0,
HKQuantityTypeIdentifierWalkingAsymmetryPercentage,iPhone 13 Pro,15.0,<<HKDevice: 0x280bc81e0> name:iPhone manufacturer:Apple Inc. model:iPhone hardware:iPhone142 software:15.0>,%,2021-11-13 05:15:14 +0200,2021-11-13 04:46:30 +0200,2021-11-13 04:47:25 +0200,0.03,
