Workouts
workoutActivityType,duration,durationUnit,totalDistance,totalDistanceUnit,totalEnergyBurned,totalEnergyBurnedUnit,sourceName,sourceVersion,device,creationDate,startDate,endDate
HKWorkoutActivityTypeTraditionalStrengthTraining,50.34377809961637,min,0,km,421.1818082572897,kcal,Phillip’s Apple Watch,8.1,<<HKDevice: 0x280bf8aa0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,7, software:8.1>,2021-11-23 16:38:27 +0200,2021-11-23 15:48:05 +0200,2021-11-23 16:38:26 +0200,
HKWorkoutActivityTypeTraditionalStrengthTraining,88.02334238290787,min,0,km,899.797796206768,kcal,Phillip’s Apple Watch,8.1,<<HKDevice: 0x280bf8aa0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,7, software:8.1>,2021-11-25 17:07:57 +0200,2021-11-25 15:39:55 +0200,2021-11-25 17:07:56 +0200,
HKWorkoutActivityTypeTraditionalStrengthTraining,82.71686261693637,min,0,km,973.4837334945977,kcal,Phillip’s Apple Watch,8.1,<<HKDevice: 0x280bf8aa0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,7, software:8.1>,2021-11-27 21:10:03 +0200,2021-11-27 18:48:37 +0200,2021-11-27 21:10:03 +0200,
HKWorkoutActivityTypeTraditionalStrengthTraining,63.36776691675186,min,0,km,738.4332493502726,kcal,Phillip’s Apple Watch,8.1,<<HKDevice: 0x280bf8aa0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,7, software:8.1>,2021-11-29 11:18:57 +0200,2021-11-29 10:15:35 +0200,2021-11-29 11:18:57 +0200,
HKWorkoutActivityTypeWalking,99.89645010232925,min,5.011353041757719,km,480.514754601174,kcal,Phillip’s Apple Watch,8.1,<<HKDevice: 0x280bf8aa0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,7, software:8.1>,2021-11-30 17:20:27 +0200,2021-11-30 15:40:33 +0200,2021-11-30 17:20:27 +0200,
HKWorkoutActivityTypeTraditionalStrengthTraining,75.0545699675878,min,0,km,921.0997846419076,kcal,Phillip’s Apple Watch,8.1,<<HKDevice: 0x280bf8aa0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,7, software:8.1>,2021-11-30 22:04:52 +0200,2021-11-30 20:49:48 +0200,2021-11-30 22:04:51 +0200,
HKWorkoutActivityTypeTraditionalStrengthTraining,41.14259545008341,min,0,km,454.3263232279379,kcal,Phillip’s Apple Watch,8.1,<<HKDevice: 0x280bf8aa0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,7, software:8.1>,2021-12-02 19:06:50 +0200,2021-12-02 18:25:41 +0200,2021-12-02 19:06:50 +0200,
HKWorkoutActivityTypeWalking,65.87058076063792,min,3.518713501200924,km,397.9049999999957,kcal,Phillip’s Apple Watch,8.1,<<HKDevice: 0x280bf8aa0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,7, software:8.1>,2021-12-15 11:50:44 +0200,2021-12-15 10:44:51 +0200,2021-12-15 11:50:43 +0200,
HKWorkoutActivityTypeTraditionalStrengthTraining,67.72220246791839,min,0,km,832.222659487123,kcal,Phillip’s Apple Watch,8.1,<<HKDevice: 0x280bf8aa0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,7, software:8.1>,2021-12-15 18:05:16 +0200,2021-12-15 16:57:32 +0200,2021-12-15 18:05:15 +0200,
HKWorkoutActivityTypeTraditionalStrengthTraining,70.5244065185388,min,0,km,846.4145244073691,kcal,Phillip’s Apple Watch,8.1,<<HKDevice: 0x280bf8aa0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,7, software:8.1>,2021-12-19 12:23:33 +0200,2021-12-19 11:13:01 +0200,2021-12-19 12:23:33 +0200,
HKWorkoutActivityTypeTraditionalStrengthTraining,85.60510641535123,min,0,km,631.5314468254157,kcal,Phillip’s Apple Watch,8.1,<<HKDevice: 0x280bf8aa0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,7, software:8.1>,2021-12-21 13:53:34 +0200,2021-12-21 12:27:57 +0200,2021-12-21 13:53:34 +0200,
HKWorkoutActivityTypeTraditionalStrengthTraining,112.059341832002,min,0,km,1132.77707926132,kcal,Phillip’s Apple Watch,8.1,<<HKDevice: 0x280bf8aa0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,7, software:8.1>,2021-12-22 18:24:03 +0200,2021-12-22 16:31:58 +0200,2021-12-22 18:24:02 +0200,
