HKCategoryTypeIdentifierHeadphoneAudioExposureEvent
type,sourceName,sourceVersion,creationDate,startDate,endDate,value
HKCategoryTypeIdentifierHeadphoneAudioExposureEvent,iPhone 13 Pro,15.0,2021-11-17 18:16:35 +0200,2021-11-10 18:11:38 +0200,2021-11-17 18:16:35 +0200,HKCategoryValueHeadphoneAudioExposureEventSevenDayLimit,
HKCategoryTypeIdentifierHeadphoneAudioExposureEvent,iPhone 13 Pro,15.0,2021-11-27 19:12:07 +0200,2021-11-20 19:09:35 +0200,2021-11-27 19:12:07 +0200,HKCategoryValueHeadphoneAudioExposureEventSevenDayLimit,
HKCategoryTypeIdentifierHeadphoneAudioExposureEvent,iPhone 13 Pro,15.3.1,2022-03-28 07:51:15 +0200,2022-03-21 00:31:59 +0200,2022-03-28 07:51:15 +0200,HKCategoryValueHeadphoneAudioExposureEventSevenDayLimit,
HKCategoryTypeIdentifierHeadphoneAudioExposureEvent,iPhone 13 Pro,15.3.1,2022-04-09 21:20:16 +0200,2022-04-02 21:18:30 +0200,2022-04-09 21:20:16 +0200,HKCategoryValueHeadphoneAudioExposureEventSevenDayLimit,
HKCategoryTypeIdentifierHeadphoneAudioExposureEvent,iPhone 13 Pro,15.3.1,2022-04-17 12:26:37 +0200,2022-04-10 12:24:14 +0200,2022-04-17 12:26:37 +0200,HKCategoryValueHeadphoneAudioExposureEventSevenDayLimit,
HKCategoryTypeIdentifierHeadphoneAudioExposureEvent,iPhone 13 Pro,15.3.1,2022-04-23 12:00:37 +0200,2022-04-17 12:26:37 +0200,2022-04-23 12:00:37 +0200,HKCategoryValueHeadphoneAudioExposureEventSevenDayLimit,
HKCategoryTypeIdentifierHeadphoneAudioExposureEvent,iPhone 13 Pro,15.3.1,2022-05-02 18:12:16 +0200,2022-04-25 18:07:53 +0200,2022-05-02 18:12:16 +0200,HKCategoryValueHeadphoneAudioExposureEventSevenDayLimit,
HKCategoryTypeIdentifierHeadphoneAudioExposureEvent,iPhone 13 Pro,15.3.1,2022-05-07 08:27:33 +0200,2022-05-02 18:12:16 +0200,2022-05-07 08:27:33 +0200,HKCategoryValueHeadphoneAudioExposureEventSevenDayLimit,
HKCategoryTypeIdentifierHeadphoneAudioExposureEvent,iPhone 13 Pro,15.4.1,2022-05-11 17:30:10 +0200,2022-05-07 08:27:33 +0200,2022-05-11 17:30:10 +0200,HKCategoryValueHeadphoneAudioExposureEventSevenDayLimit,
HKCategoryTypeIdentifierHeadphoneAudioExposureEvent,iPhone 13 Pro,15.4.1,2022-05-18 17:10:33 +0200,2022-05-11 17:30:10 +0200,2022-05-18 17:10:33 +0200,HKCategoryValueHeadphoneAudioExposureEventSevenDayLimit,
HKCategoryTypeIdentifierHeadphoneAudioExposureEvent,iPhone 13 Pro,15.4.1,2022-05-21 14:41:35 +0200,2022-05-18 17:10:33 +0200,2022-05-21 14:41:35 +0200,HKCategoryValueHeadphoneAudioExposureEventSevenDayLimit,
HKCategoryTypeIdentifierHeadphoneAudioExposureEvent,iPhone 13 Pro,15.4.1,2022-05-25 15:37:12 +0200,2022-05-21 14:41:35 +0200,2022-05-25 15:37:12 +0200,HKCategoryValueHeadphoneAudioExposureEventSevenDayLimit,
