HKQuantityTypeIdentifierBasalEnergyBurned
type,sourceName,sourceVersion,device,unit,creationDate,startDate,endDate,value
HKQuantityTypeIdentifierBasalEnergyBurned,Phillip’s Apple Watch,8.0.1,<<HKDevice: 0x280bfdd60> name:Apple Watch manufacturer:Apple Inc. model:Watch hardware:Watch67 software:8.0.1>,kcal,2021-11-17 20:45:14 +0200,2021-11-17 20:29:15 +0200,2021-11-17 20:44:03 +0200,19.918,
HKQuantityTypeIdentifierBasalEnergyBurned,Phillip’s Apple Watch,8.0.1,<<HKDevice: 0x280bfdd60> name:Apple Watch manufacturer:Apple Inc. model:Watch hardware:Watch67 software:8.0.1>,kcal,2021-11-17 21:00:04 +0200,2021-11-17 20:44:03 +0200,2021-11-17 20:58:51 +0200,20.662,
HKQuantityTypeIdentifierBasalEnergyBurned,Phillip’s Apple Watch,8.0.1,<<HKDevice: 0x280bfdd60> name:Apple Watch manufacturer:Apple Inc. model:Watch hardware:Watch67 software:8.0.1>,kcal,2021-11-17 21:15:08 +0200,2021-11-17 20:58:51 +0200,2021-11-17 21:13:50 +0200,26.604,
HKQuantityTypeIdentifierBasalEnergyBurned,Phillip’s Apple Watch,8.0.1,<<HKDevice: 0x280bfdd60> name:Apple Watch manufacturer:Apple Inc. model:Watch hardware:Watch67 software:8.0.1>,kcal,2021-11-17 21:30:52 +0200,2021-11-17 21:13:50 +0200,2021-11-17 21:28:48 +0200,26.975,
HKQuantityTypeIdentifierBasalEnergyBurned,Phillip’s Apple Watch,8.0.1,<<HKDevice: 0x280bfdd60> name:Apple Watch manufacturer:Apple Inc. model:Watch hardware:Watch67 software:8.0.1>,kcal,2021-11-17 21:44:24 +0200,2021-11-17 21:28:48 +0200,2021-11-17 21:43:47 +0200,21.61,
HKQuantityTypeIdentifierBasalEnergyBurned,Phillip’s Apple Watch,8.0.1,<<HKDevice: 0x280bfdd60> name:Apple Watch manufacturer:Apple Inc. model:Watch hardware:Watch67 software:8.0.1>,kcal,2021-11-17 22:01:07 +0200,2021-11-17 21:43:47 +0200,2021-11-17 21:58:45 +0200,25.651,
HKQuantityTypeIdentifierBasalEnergyBurned,Phillip’s Apple Watch,8.0.1,<<HKDevice: 0x280bfdd60> name:Apple Watch manufacturer:Apple Inc. model:Watch hardware:Watch67 software:8.0.1>,kcal,2021-11-17 22:14:43 +0200,2021-11-17 21:58:45 +0200,2021-11-17 22:13:44 +0200,25.071,
HKQuantityTypeIdentifierBasalEnergyBurned,Phillip’s Apple Watch,8.0.1,<<HKDevice: 0x280bfdd60> name:Apple Watch manufacturer:Apple Inc. model:Watch hardware:Watch67 software:8.0.1>,kcal,2021-11-17 22:30:00 +0200,2021-11-17 22:13:44 +0200,2021-11-17 22:28:43 +0200,24.519,
HKQuantityTypeIdentifierBasalEnergyBurned,Phillip’s Apple Watch,8.0.1,<<HKDevice: 0x280bfdd60> name:Apple Watch manufacturer:Apple Inc. model:Watch hardware:Watch67 software:8.0.1>,kcal,2021-11-17 22:45:35 +0200,2021-11-17 22:28:53 +0200,2021-11-17 22:43:51 +0200,27.029,
HKQuantityTypeIdentifierBasalEnergyBurned,Phillip’s Apple Watch,8.0.1,<<HKDevice: 0x280bfdd60> name:Apple Watch manufacturer:Apple Inc. model:Watch hardware:Watch67 software:8.0.1>,kcal,2021-11-17 23:01:40 +0200,2021-11-17 22:43:51 +0200,2021-11-17 22:44:12 +0200,0.692,
HKQuantityTypeIdentifierBasalEnergyBurned,Phillip’s Apple Watch,8.0.1,<<HKDevice: 0x280bfdd60> name:Apple Watch manufacturer:Apple Inc. model:Watch hardware:Watch67 software:8.0.1>,kcal,2021-11-17 23:02:55 +0200,2021-11-17 22:44:12 +0200,2021-11-17 22:59:10 +0200,28.794,
