HKQuantityTypeIdentifierHeadphoneAudioExposure
type,sourceName,sourceVersion,device,unit,creationDate,startDate,endDate,value
HKQuantityTypeIdentifierHeadphoneAudioExposure,iPhone 13 Pro,15.0,<<HKDevice: 0x280b8eda0> name:AirPods Pro manufacturer:Apple Inc. model:0x200e localIdentifier:E4:76:84:23:43:D6-tacl>,dBASPL,2021-11-08 16:42:49 +0200,2021-11-08 16:31:49 +0200,2021-11-08 16:52:13 +0200,78.8357,
HKQuantityTypeIdentifierHeadphoneAudioExposure,iPhone 13 Pro,15.0,<<HKDevice: 0x280b8eda0> name:AirPods Pro manufacturer:Apple Inc. model:0x200e localIdentifier:E4:76:84:23:43:D6-tacl>,dBASPL,2021-11-08 17:02:28 +0200,2021-11-08 16:52:13 +0200,2021-11-08 16:53:22 +0200,80.7424,
HKQuantityTypeIdentifierHeadphoneAudioExposure,iPhone 13 Pro,15.0,<<HKDevice: 0x280b8eda0> name:AirPods Pro manufacturer:Apple Inc. model:0x200e localIdentifier:E4:76:84:23:43:D6-tacl>,dBASPL,2021-11-08 17:04:25 +0200,2021-11-08 16:53:22 +0200,2021-11-08 17:04:27 +0200,89.2877,
HKQuantityTypeIdentifierHeadphoneAudioExposure,iPhone 13 Pro,15.0,<<HKDevice: 0x280b8eda0> name:AirPods Pro manufacturer:Apple Inc. model:0x200e localIdentifier:E4:76:84:23:43:D6-tacl>,dBASPL,2021-11-08 17:12:30 +0200,2021-11-08 17:04:27 +0200,2021-11-08 17:04:52 +0200,87.3876,
HKQuantityTypeIdentifierHeadphoneAudioExposure,iPhone 13 Pro,15.0,<<HKDevice: 0x280b8eda0> name:AirPods Pro manufacturer:Apple Inc. model:0x200e localIdentifier:E4:76:84:23:43:D6-tacl>,dBASPL,2021-11-08 17:12:30 +0200,2021-11-08 17:04:52 +0200,2021-11-08 17:06:52 +0200,86.3951,
HKQuantityTypeIdentifierHeadphoneAudioExposure,iPhone 13 Pro,15.0,<<HKDevice: 0x280b8eda0> name:AirPods Pro manufacturer:Apple Inc. model:0x200e localIdentifier:E4:76:84:23:43:D6-tacl>,dBASPL,2021-11-08 17:12:30 +0200,2021-11-08 17:06:52 +0200,2021-11-08 17:08:58 +0200,88.1227,
HKQuantityTypeIdentifierHeadphoneAudioExposure,iPhone 13 Pro,15.0,<<HKDevice: 0x280b8eda0> name:AirPods Pro manufacturer:Apple Inc. model:0x200e localIdentifier:E4:76:84:23:43:D6-tacl>,dBASPL,2021-11-08 17:12:30 +0200,2021-11-08 17:08:58 +0200,2021-11-08 17:09:01 +0200,94.3317,
HKQuantityTypeIdentifierHeadphoneAudioExposure,iPhone 13 Pro,15.0,<<HKDevice: 0x280b8eda0> name:AirPods Pro manufacturer:Apple Inc. model:0x200e localIdentifier:E4:76:84:23:43:D6-tacl>,dBASPL,2021-11-08 17:20:05 +0200,2021-11-08 17:09:01 +0200,2021-11-08 17:12:08 +0200,92.0108,
HKQuantityTypeIdentifierHeadphoneAudioExposure,iPhone 13 Pro,15.0,<<HKDevice: 0x280b8eda0> name:AirPods Pro manufacturer:Apple Inc. model:0x200e localIdentifier:E4:76:84:23:43:D6-tacl>,dBASPL,2021-11-08 17:22:08 +0200,2021-11-08 17:12:08 +0200,2021-11-08 17:12:11 +0200,84.852,
HKQuantityTypeIdentifierHeadphoneAudioExposure,iPhone 13 Pro,15.0,<<HKDevice: 0x280b8eda0> name:AirPods Pro manufacturer:Apple Inc. model:0x200e localIdentifier:E4:76:84:23:43:D6-tacl>,dBASPL,2021-11-08 17:22:08 +0200,2021-11-08 17:12:11 +0200,2021-11-08 17:14:29 +0200,89.5011,
HKQuantityTypeIdentifierHeadphoneAudioExposure,iPhone 13 Pro,15.0,<<HKDevice: 0x280b8eda0> name:AirPods Pro manufacturer:Apple Inc. model:0x200e localIdentifier:E4:76:84:23:43:D6-tacl>,dBASPL,2021-11-08 17:22:08 +0200,2021-11-08 17:14:29 +0200,2021-11-08 17:15:09 +0200,93.5938,
HKQuantityTypeIdentifierHeadphoneAudioExposure,iPhone 13 Pro,15.0,<<HKDevice: 0x280b8eda0> name:AirPods Pro manufacturer:Apple Inc. model:0x200e localIdentifier:E4:76:84:23:43:D6-tacl>,dBASPL,2021-11-08 17:22:08 +0200,2021-11-08 17:15:09 +0200,2021-11-08 17:15:21 +0200,91.4122,
HKQuantityTypeIdentifierHeadphoneAudioExposure,iPhone 13 Pro,15.0,<<HKDevice: 0x280b8eda0> name:AirPods Pro manufacturer:Apple Inc. model:0x200e localIdentifier:E4:76:84:23:43:D6-tacl>,dBASPL,2021-11-08 17:22:08 +0200,2021-11-08 17:15:21 +0200,2021-11-08 17:15:54 +0200,92.5058,
HKQuantityTypeIdentifierHeadphoneAudioExposure,iPhone 13 Pro,15.0,<<HKDevice: 0x280b8eda0> name:AirPods Pro manufacturer:Apple Inc. model:0x200e localIdentifier:E4:76:84:23:43:D6-tacl>,dBASPL,2021-11-08 17:22:08 +0200,2021-11-08 17:15:54 +0200,2021-11-08 17:18:00 +0200,92.5476,
HKQuantityTypeIdentifierHeadphoneAudioExposure,iPhone 13 Pro,15.0,<<HKDevice: 0x280b8eda0> name:AirPods Pro manufacturer:Apple Inc. model:0x200e localIdentifier:E4:76:84:23:43:D6-tacl>,dBASPL,2021-11-08 17:22:08 +0200,2021-11-08 17:18:00 +0200,2021-11-08 17:18:06 +0200,85.1875,
HKQuantityTypeIdentifierHeadphoneAudioExposure,iPhone 13 Pro,15.0,<<HKDevice: 0x280b8eda0> name:AirPods Pro manufacturer:Apple Inc. model:0x200e localIdentifier:E4:76:84:23:43:D6-tacl>,dBASPL,2021-11-08 17:22:08 +0200,2021-11-08 17:18:06 +0200,2021-11-08 17:18:30 +0200,83.4486,
HKQuantityTypeIdentifierHeadphoneAudioExposure,iPhone 13 Pro,15.0,<<HKDevice: 0x280b8eda0> name:AirPods Pro manufacturer:Apple Inc. model:0x200e localIdentifier:E4:76:84:23:43:D6-tacl>,dBASPL,2021-11-08 17:22:08 +0200,2021-11-08 17:18:30 +0200,2021-11-08 17:18:57 +0200,83.5355,
HKQuantityTypeIdentifierHeadphoneAudioExposure,iPhone 13 Pro,15.0,<<HKDevice: 0x280b8eda0> name:AirPods Pro manufacturer:Apple Inc. model:0x200e localIdentifier:E4:76:84:23:43:D6-tacl>,dBASPL,2021-11-08 17:30:00 +0200,2021-11-08 17:18:57 +0200,2021-11-08 17:33:57 +0200,91.1691,
HKQuantityTypeIdentifierHeadphoneAudioExposure,iPhone 13 Pro,15.0,<<HKDevice: 0x280b8eda0> name:AirPods Pro manufacturer:Apple Inc. model:0x200e localIdentifier:E4:76:84:23:43:D6-tacl>,dBASPL,2021-11-08 17:42:18 +0200,2021-11-08 17:33:57 +0200,2021-11-08 17:38:30 +0200,87.9522,
HKQuantityTypeIdentifierHeadphoneAudioExposure,iPhone 13 Pro,15.0,<<HKDevice: 0x280b8eda0> name:AirPods Pro manufacturer:Apple Inc. model:0x200e localIdentifier:E4:76:84:23:43:D6-tacl>,dBASPL,2021-11-08 17:42:18 +0200,2021-11-08 17:38:30 +0200,2021-11-08 17:38:36 +0200,86.1234,
HKQuantityTypeIdentifierHeadphoneAudioExposure,iPhone 13 Pro,15.0,<<HKDevice: 0x280b8eda0> name:AirPods Pro manufacturer:Apple Inc. model:0x200e localIdentifier:E4:76:84:23:43:D6-tacl>,dBASPL,2021-11-08 17:49:39 +0200,2021-11-08 17:38:36 +0200,2021-11-08 17:42:25 +0200,88.2086,
HKQuantityTypeIdentifierHeadphoneAudioExposure,iPhone 13 Pro,15.0,<<HKDevice: 0x280b8eda0> name:AirPods Pro manufacturer:Apple Inc. model:0x200e localIdentifier:E4:76:84:23:43:D6-tacl>,dBASPL,2021-11-08 17:51:42 +0200,2021-11-08 17:42:25 +0200,2021-11-08 17:43:43 +0200,81.7946,
HKQuantityTypeIdentifierHeadphoneAudioExposure,iPhone 13 Pro,15.0,<<HKDevice: 0x280b8eda0> name:AirPods Pro manufacturer:Apple Inc. model:0x200e localIdentifier:E4:76:84:23:43:D6-tacl>,dBASPL,2021-11-08 17:51:42 +0200,2021-11-08 17:44:06 +0200,2021-11-08 17:46:39 +0200,90.2845,
HKQuantityTypeIdentifierHeadphoneAudioExposure,iPhone 13 Pro,15.0,<<HKDevice: 0x280b8eda0> name:AirPods Pro manufacturer:Apple Inc. model:0x200e localIdentifier:E4:76:84:23:43:D6-tacl>,dBASPL,2021-11-08 17:51:42 +0200,2021-11-08 17:46:39 +0200,2021-11-08 17:46:48 +0200,81.4846,
HKQuantityTypeIdentifierHeadphoneAudioExposure,iPhone 13 Pro,15.0,<<HKDevice: 0x280b8eda0> name:AirPods Pro manufacturer:Apple Inc. model:0x200e localIdentifier:E4:76:84:23:43:D6-tacl>,dBASPL,2021-11-08 17:51:42 +0200,2021-11-08 17:46:48 +0200,2021-11-08 17:49:46 +0200,86.2433,
HKQuantityTypeIdentifierHeadphoneAudioExposure,iPhone 13 Pro,15.0,<<HKDevice: 0x280b8eda0> name:AirPods Pro manufacturer:Apple Inc. model:0x200e localIdentifier:E4:76:84:23:43:D6-tacl>,dBASPL,2021-11-08 17:51:42 +0200,2021-11-08 17:49:46 +0200,2021-11-08 17:49:49 +0200,82.8772,
HKQuantityTypeIdentifierHeadphoneAudioExposure,iPhone 13 Pro,15.0,<<HKDevice: 0x280b8eda0> name:AirPods Pro manufacturer:Apple Inc. model:0x200e localIdentifier:E4:76:84:23:43:D6-tacl>,dBASPL,2021-11-08 17:57:46 +0200,2021-11-08 17:49:49 +0200,2021-11-08 17:57:24 +0200,89.779,
HKQuantityTypeIdentifierHeadphoneAudioExposure,iPhone 13 Pro,15.0,<<HKDevice: 0x280b8eda0> name:AirPods Pro manufacturer:Apple Inc. model:0x200e localIdentifier:E4:76:84:23:43:D6-tacl>,dBASPL,2021-11-08 17:59:06 +0200,2021-11-08 17:57:43 +0200,2021-11-08 17:58:48 +0200,85.3084,
HKQuantityTypeIdentifierHeadphoneAudioExposure,iPhone 13 Pro,15.0,<<HKDevice: 0x280b8eda0> name:AirPods Pro manufacturer:Apple Inc. model:0x200e localIdentifier:E4:76:84:23:43:D6-tacl>,dBASPL,2021-11-08 18:10:03 +0200,2021-11-08 17:59:03 +0200,2021-11-08 18:22:42 +0200,86.049,
HKQuantityTypeIdentifierHeadphoneAudioExposure,iPhone 13 Pro,15.0,<<HKDevice: 0x280b8eda0> name:AirPods Pro manufacturer:Apple Inc. model:0x200e localIdentifier:E4:76:84:23:43:D6-tacl>,dBASPL,2021-11-08 18:23:40 +0200,2021-11-08 18:22:42 +0200,2021-11-08 18:22:43 +0200,69.6468,
HKQuantityTypeIdentifierHeadphoneAudioExposure,iPhone 13 Pro,15.0,<<HKDevice: 0x280b8eda0> name:AirPods Pro manufacturer:Apple Inc. model:0x200e localIdentifier:E4:76:84:23:43:D6-tacl>,dBASPL,2021-11-08 18:34:37 +0200,2021-11-08 18:23:37 +0200,2021-11-08 18:37:56 +0200,66.296,
HKQuantityTypeIdentifierHeadphoneAudioExposure,iPhone 13 Pro,15.0,<<HKDevice: 0x280b8eda0> name:AirPods Pro manufacturer:Apple Inc. model:0x200e localIdentifier:E4:76:84:23:43:D6-tacl>,dBASPL,2021-11-08 21:30:18 +0200,2021-11-08 21:19:18 +0200,2021-11-08 21:34:29 +0200,88.5305,
HKQuantityTypeIdentifierHeadphoneAudioExposure,iPhone 13 Pro,15.0,<<HKDevice: 0x280b8eda0> name:AirPods Pro manufacturer:Apple Inc. model:0x200e localIdentifier:E4:76:84:23:43:D6-tacl>,dBASPL,2021-11-08 21:39:53 +0200,2021-11-08 21:34:29 +0200,2021-11-08 21:35:15 +0200,83.317,
HKQuantityTypeIdentifierHeadphoneAudioExposure,iPhone 13 Pro,15.0,<<HKDevice: 0x280b8eda0> name:AirPods Pro manufacturer:Apple Inc. model:0x200e localIdentifier:E4:76:84:23:43:D6-tacl>,dBASPL,2021-11-08 21:39:53 +0200,2021-11-08 21:35:14 +0200,2021-11-08 21:35:36 +0200,77.6176,
HKQuantityTypeIdentifierHeadphoneAudioExposure,iPhone 13 Pro,15.0,<<HKDevice: 0x280b8eda0> name:AirPods Pro manufacturer:Apple Inc. model:0x200e localIdentifier:E4:76:84:23:43:D6-tacl>,dBASPL,2021-11-08 21:39:53 +0200,2021-11-08 21:35:36 +0200,2021-11-08 21:35:39 +0200,75.8102,
HKQuantityTypeIdentifierHeadphoneAudioExposure,iPhone 13 Pro,15.0,<<HKDevice: 0x280b8eda0> name:AirPods Pro manufacturer:Apple Inc. model:0x200e localIdentifier:E4:76:84:23:43:D6-tacl>,dBASPL,2021-11-08 21:47:15 +0200,2021-11-08 21:35:39 +0200,2021-11-08 21:48:22 +0200,80.6102,
HKQuantityTypeIdentifierHeadphoneAudioExposure,iPhone 13 Pro,15.0,<<HKDevice: 0x280b8eda0> name:AirPods Pro manufacturer:Apple Inc. model:0x200e localIdentifier:E4:76:84:23:43:D6-tacl>,dBASPL,2021-11-08 21:48:34 +0200,2021-11-08 21:48:22 +0200,2021-11-08 21:48:23 +0200,59.6878,
HKQuantityTypeIdentifierHeadphoneAudioExposure,iPhone 13 Pro,15.0,<<HKDevice: 0x280b8eda0> name:AirPods Pro manufacturer:Apple Inc. model:0x200e localIdentifier:E4:76:84:23:43:D6-tacl>,dBASPL,2021-11-08 21:48:56 +0200,2021-11-08 21:48:31 +0200,2021-11-08 21:48:50 +0200,80.4139,
HKQuantityTypeIdentifierHeadphoneAudioExposure,iPhone 13 Pro,15.0,<<HKDevice: 0x280b8eda0> name:AirPods Pro manufacturer:Apple Inc. model:0x200e localIdentifier:E4:76:84:23:43:D6-tacl>,dBASPL,2021-11-08 21:58:32 +0200,2021-11-08 21:48:53 +0200,2021-11-08 21:51:27 +0200,88.8707,
HKQuantityTypeIdentifierHeadphoneAudioExposure,iPhone 13 Pro,15.0,<<HKDevice: 0x280b8eda0> name:AirPods Pro manufacturer:Apple Inc. model:0x200e localIdentifier:E4:76:84:23:43:D6-tacl>,dBASPL,2021-11-08 21:58:32 +0200,2021-11-08 21:51:27 +0200,2021-11-08 21:51:33 +0200,83.1762,
HKQuantityTypeIdentifierHeadphoneAudioExposure,iPhone 13 Pro,15.0,<<HKDevice: 0x280b8eda0> name:AirPods Pro manufacturer:Apple Inc. model:0x200e localIdentifier:E4:76:84:23:43:D6-tacl>,dBASPL,2021-11-08 21:59:34 +0200,2021-11-08 21:51:33 +0200,2021-11-08 21:57:32 +0200,92.8254,
HKQuantityTypeIdentifierHeadphoneAudioExposure,iPhone 13 Pro,15.0,<<HKDevice: 0x280b8eda0> name:AirPods Pro manufacturer:Apple Inc. model:0x200e localIdentifier:E4:76:84:23:43:D6-tacl>,dBASPL,2021-11-09 09:08:20 +0200,2021-11-09 08:57:19 +0200,2021-11-09 09:13:33 +0200,75.2649,
