HKQuantityTypeIdentifierStairAscentSpeed
type,sourceName,sourceVersion,unit,creationDate,startDate,endDate,value
HKQuantityTypeIdentifierStairAscentSpeed,Phillip’s Apple Watch,2664.0.8.1.1,m/s,2021-11-18 09:10:17 +0200,2021-11-18 09:09:37 +0200,2021-11-18 09:09:54 +0200,0.274325,
HKQuantityTypeIdentifierStairAscentSpeed,Phillip’s Apple Watch,2664.0.8.1.1,m/s,2021-11-18 09:12:17 +0200,2021-11-18 09:11:29 +0200,2021-11-18 09:11:54 +0200,0.221938,
HKQuantityTypeIdentifierStairAscentSpeed,Phillip’s Apple Watch,2664.0.8.1.1,m/s,2021-11-18 09:14:48 +0200,2021-11-18 09:13:53 +0200,2021-11-18 09:14:07 +0200,0.257734,
HKQuantityTypeIdentifierStairAscentSpeed,Phillip’s Apple Watch,2664.0.8.1.1,m/s,2021-11-18 11:34:36 +0200,2021-11-18 11:34:00 +0200,2021-11-18 11:34:09 +0200,0.271776,
HKQuantityTypeIdentifierStairAscentSpeed,Phillip’s Apple Watch,2664.0.8.1.1,m/s,2021-11-19 17:02:32 +0200,2021-11-19 17:02:01 +0200,2021-11-19 17:02:06 +0200,0.344745,
HKQuantityTypeIdentifierStairAscentSpeed,Phillip’s Apple Watch,2664.0.8.1.1,m/s,2021-11-19 17:04:32 +0200,2021-11-19 17:03:55 +0200,2021-11-19 17:03:59 +0200,0.231688,
HKQuantityTypeIdentifierStairAscentSpeed,Phillip’s Apple Watch,2664.0.8.1.1,m/s,2021-11-19 17:06:12 +0200,2021-11-19 17:05:37 +0200,2021-11-19 17:05:41 +0200,0.25945,
HKQuantityTypeIdentifierStairAscentSpeed,Phillip’s Apple Watch,2664.0.8.1.1,m/s,2021-11-19 17:54:36 +0200,2021-11-19 17:53:47 +0200,2021-11-19 17:53:56 +0200,0.222044,
HKQuantityTypeIdentifierStairAscentSpeed,Phillip’s Apple Watch,2664.0.8.1.1,m/s,2021-11-19 17:54:56 +0200,2021-11-19 17:54:29 +0200,2021-11-19 17:54:34 +0200,0.244927,
HKQuantityTypeIdentifierStairAscentSpeed,Phillip’s Apple Watch,2664.0.8.1.1,m/s,2021-11-21 11:43:26 +0200,2021-11-21 11:42:29 +0200,2021-11-21 11:42:32 +0200,0.54698,
HKQuantityTypeIdentifierStairAscentSpeed,Phillip’s Apple Watch,2664.0.8.1.1,m/s,2021-11-22 09:30:51 +0200,2021-11-22 09:30:04 +0200,2021-11-22 09:30:14 +0200,0.256451,
HKQuantityTypeIdentifierStairAscentSpeed,Phillip’s Apple Watch,2664.0.8.1.1,m/s,2021-11-22 10:23:55 +0200,2021-11-22 10:22:08 +0200,2021-11-22 10:22:16 +0200,0.255794,
HKQuantityTypeIdentifierStairAscentSpeed,Phillip’s Apple Watch,2664.0.8.1.1,m/s,2021-11-22 13:01:21 +0200,2021-11-22 13:00:37 +0200,2021-11-22 13:00:48 +0200,0.228872,
HKQuantityTypeIdentifierStairAscentSpeed,Phillip’s Apple Watch,2664.0.8.1.1,m/s,2021-11-22 13:11:58 +0200,2021-11-22 13:10:58 +0200,2021-11-22 13:11:02 +0200,0.372368,
HKQuantityTypeIdentifierStairAscentSpeed,Phillip’s Apple Watch,2664.0.8.1.1,m/s,2021-11-23 09:11:40 +0200,2021-11-23 09:10:50 +0200,2021-11-23 09:11:00 +0200,0.314671,
HKQuantityTypeIdentifierStairAscentSpeed,Phillip’s Apple Watch,2664.0.8.1.1,m/s,2021-11-23 11:05:03 +0200,2021-11-23 11:03:59 +0200,2021-11-23 11:04:04 +0200,0.204249,
HKQuantityTypeIdentifierStairAscentSpeed,Phillip’s Apple Watch,2664.0.8.1.1,m/s,2021-11-23 11:05:03 +0200,2021-11-23 11:04:04 +0200,2021-11-23 11:04:10 +0200,0.302442,
HKQuantityTypeIdentifierStairAscentSpeed,Phillip’s Apple Watch,2664.0.8.1.1,m/s,2021-11-23 14:03:34 +0200,2021-11-23 14:02:34 +0200,2021-11-23 14:02:39 +0200,0.392224,
