HKQuantityTypeIdentifierWalkingHeartRateAverage
type,sourceName,sourceVersion,unit,creationDate,startDate,endDate,value
HKQuantityTypeIdentifierWalkingHeartRateAverage,Phillip’s Apple Watch,8.1,count/min,2021-11-18 00:03:42 +0200,2021-11-17 20:29:36 +0200,2021-11-17 23:51:18 +0200,89,
HKQuantityTypeIdentifierWalkingHeartRateAverage,Phillip’s Apple Watch,8.1,count/min,2021-11-18 23:27:40 +0200,2021-11-18 08:49:28 +0200,2021-11-18 23:27:39 +0200,99.5,
HKQuantityTypeIdentifierWalkingHeartRateAverage,Phillip’s Apple Watch,8.1,count/min,2021-11-20 00:57:57 +0200,2021-11-19 11:34:59 +0200,2021-11-20 00:57:56 +0200,126,
HKQuantityTypeIdentifierWalkingHeartRateAverage,Phillip’s Apple Watch,8.1,count/min,2021-11-20 03:46:56 +0200,2021-11-20 01:00:03 +0200,2021-11-20 03:46:35 +0200,124,
HKQuantityTypeIdentifierWalkingHeartRateAverage,Phillip’s Apple Watch,8.1,count/min,2021-11-22 09:16:00 +0200,2021-11-21 01:02:15 +0200,2021-11-21 11:48:07 +0200,102,
HKQuantityTypeIdentifierWalkingHeartRateAverage,Phillip’s Apple Watch,8.1,count/min,2021-11-22 19:33:20 +0200,2021-11-22 09:11:55 +0200,2021-11-22 19:33:19 +0200,118,
HKQuantityTypeIdentifierWalkingHeartRateAverage,Phillip’s Apple Watch,8.1,count/min,2021-11-23 18:24:44 +0200,2021-11-23 08:35:18 +0200,2021-11-23 18:24:43 +0200,109,
HKQuantityTypeIdentifierWalkingHeartRateAverage,Phillip’s Apple Watch,8.1,count/min,2021-11-24 20:06:44 +0200,2021-11-24 08:42:14 +0200,2021-11-24 20:06:31 +0200,93,
HKQuantityTypeIdentifierWalkingHeartRateAverage,Phillip’s Apple Watch,8.1,count/min,2021-11-25 19:14:03 +0200,2021-11-25 09:59:51 +0200,2021-11-25 19:14:02 +0200,92,
HKQuantityTypeIdentifierWalkingHeartRateAverage,Phillip’s Apple Watch,8.1,count/min,2021-11-26 11:17:23 +0200,2021-11-26 10:31:10 +0200,2021-11-26 11:17:22 +0200,100,
HKQuantityTypeIdentifierWalkingHeartRateAverage,Phillip’s Apple Watch,8.1,count/min,2021-11-27 18:29:08 +0200,2021-11-26 10:31:10 +0200,2021-11-26 15:44:15 +0200,100,
HKQuantityTypeIdentifierWalkingHeartRateAverage,Phillip’s Apple Watch,8.1,count/min,2021-11-27 18:47:32 +0200,2021-11-27 18:29:56 +0200,2021-11-27 18:47:31 +0200,137.5,
HKQuantityTypeIdentifierWalkingHeartRateAverage,Phillip’s Apple Watch,8.1,count/min,2021-11-28 19:33:27 +0200,2021-11-28 09:19:46 +0200,2021-11-28 19:33:26 +0200,92,
HKQuantityTypeIdentifierWalkingHeartRateAverage,Phillip’s Apple Watch,8.1,count/min,2021-11-29 23:36:56 +0200,2021-11-29 09:15:55 +0200,2021-11-29 23:36:55 +0200,127,
HKQuantityTypeIdentifierWalkingHeartRateAverage,Phillip’s Apple Watch,8.1,count/min,2021-11-30 17:20:28 +0200,2021-11-30 09:49:08 +0200,2021-11-30 17:20:22 +0200,102,
HKQuantityTypeIdentifierWalkingHeartRateAverage,Phillip’s Apple Watch,8.1,count/min,2021-12-01 19:28:44 +0200,2021-12-01 13:11:05 +0200,2021-12-01 19:28:43 +0200,111,
HKQuantityTypeIdentifierWalkingHeartRateAverage,Phillip’s Apple Watch,8.1,count/min,2021-12-03 18:52:28 +0200,2021-12-02 09:16:22 +0200,2021-12-02 20:18:37 +0200,91,
HKQuantityTypeIdentifierWalkingHeartRateAverage,Phillip’s Apple Watch,8.1,count/min,2021-12-04 00:36:23 +0200,2021-12-03 18:56:06 +0200,2021-12-04 00:35:41 +0200,123,
HKQuantityTypeIdentifierWalkingHeartRateAverage,Phillip’s Apple Watch,8.1,count/min,2021-12-06 14:59:12 +0200,2021-12-06 09:50:09 +0200,2021-12-06 14:58:05 +0200,108.5,
HKQuantityTypeIdentifierWalkingHeartRateAverage,Phillip’s Apple Watch,8.1,count/min,2021-12-08 16:58:41 +0200,2021-12-08 09:24:26 +0200,2021-12-08 16:57:56 +0200,103,
HKQuantityTypeIdentifierWalkingHeartRateAverage,Phillip’s Apple Watch,8.1,count/min,2021-12-09 19:55:48 +0200,2021-12-09 15:09:53 +0200,2021-12-09 19:55:47 +0200,104.5,
HKQuantityTypeIdentifierWalkingHeartRateAverage,Phillip’s Apple Watch,8.1,count/min,2021-12-14 00:27:52 +0200,2021-12-13 10:51:42 +0200,2021-12-14 00:27:47 +0200,105.5,
HKQuantityTypeIdentifierWalkingHeartRateAverage,Phillip’s Apple Watch,8.1,count/min,2021-12-15 09:46:07 +0200,2021-12-14 09:44:33 +0200,2021-12-14 18:33:55 +0200,109.5,
HKQuantityTypeIdentifierWalkingHeartRateAverage,Phillip’s Apple Watch,8.1,count/min,2021-12-15 11:50:44 +0200,2021-12-15 09:40:35 +0200,2021-12-15 11:50:39 +0200,111,
HKQuantityTypeIdentifierWalkingHeartRateAverage,Phillip’s Apple Watch,8.1,count/min,2021-12-17 00:54:51 +0200,2021-12-16 01:01:13 +0200,2021-12-17 00:54:50 +0200,114.5,
HKQuantityTypeIdentifierWalkingHeartRateAverage,Phillip’s Apple Watch,8.1,count/min,2021-12-17 12:13:36 +0200,2021-12-17 01:00:22 +0200,2021-12-17 12:13:35 +0200,105,
HKQuantityTypeIdentifierWalkingHeartRateAverage,Phillip’s Apple Watch,8.1,count/min,2021-12-20 09:37:57 +0200,2021-12-19 10:49:47 +0200,2021-12-19 14:35:36 +0200,128,
HKQuantityTypeIdentifierWalkingHeartRateAverage,Phillip’s Apple Watch,8.1,count/min,2021-12-20 18:57:10 +0200,2021-12-20 09:43:15 +0200,2021-12-20 18:57:09 +0200,110,
HKQuantityTypeIdentifierWalkingHeartRateAverage,Phillip’s Apple Watch,8.1,count/min,2021-12-21 19:55:21 +0200,2021-12-21 10:29:04 +0200,2021-12-21 19:55:20 +0200,104,
HKQuantityTypeIdentifierWalkingHeartRateAverage,Phillip’s Apple Watch,8.1,count/min,2021-12-22 19:02:22 +0200,2021-12-22 09:23:22 +0200,2021-12-22 19:01:42 +0200,108,
HKQuantityTypeIdentifierWalkingHeartRateAverage,Phillip’s Apple Watch,8.1,count/min,2022-01-31 22:24:27 +0200,2022-01-31 10:36:27 +0200,2022-01-31 22:24:25 +0200,111,
HKQuantityTypeIdentifierWalkingHeartRateAverage,Phillip’s Apple Watch,8.1,count/min,2022-02-01 06:38:41 +0200,2022-02-01 06:34:03 +0200,2022-02-01 06:38:40 +0200,124,
HKQuantityTypeIdentifierWalkingHeartRateAverage,Phillip’s Apple Watch,8.1,count/min,2022-03-04 22:40:23 +0200,2022-03-04 13:59:12 +0200,2022-03-04 22:40:22 +0200,111.5,
HKQuantityTypeIdentifierWalkingHeartRateAverage,Phillip’s Apple Watch,8.1,count/min,2022-03-06 00:02:07 +0200,2022-03-05 01:03:17 +0200,2022-03-06 00:01:36 +0200,131,
HKQuantityTypeIdentifierWalkingHeartRateAverage,Phillip’s Apple Watch,8.1,count/min,2022-03-06 13:05:51 +0200,2022-03-06 01:05:37 +0200,2022-03-06 13:05:50 +0200,118,
HKQuantityTypeIdentifierWalkingHeartRateAverage,Phillip’s Apple Watch,8.1,count/min,2022-03-08 16:15:27 +0200,2022-03-08 08:41:49 +0200,2022-03-08 16:15:26 +0200,113,
HKQuantityTypeIdentifierWalkingHeartRateAverage,Phillip’s Apple Watch,8.1,count/min,2022-03-09 11:22:29 +0200,2022-03-09 08:45:00 +0200,2022-03-09 11:22:28 +0200,103,
