HKQuantityTypeIdentifierWalkingStepLength
type,sourceName,sourceVersion,device,unit,creationDate,startDate,endDate,value
HKQuantityTypeIdentifierWalkingStepLength,iPhone 13 Pro,15.0,<<HKDevice: 0x280bf81e0> name:iPhone manufacturer:Apple Inc. model:iPhone hardware:iPhone142 software:15.0>,cm,2021-11-06 14:02:07 +0200,2021-11-06 13:41:23 +0200,2021-11-06 13:41:27 +0200,66,
HKQuantityTypeIdentifierWalkingStepLength,iPhone 13 Pro,15.0,<<HKDevice: 0x280bf81e0> name:iPhone manufacturer:Apple Inc. model:iPhone hardware:iPhone142 software:15.0>,cm,2021-11-06 14:02:07 +0200,2021-11-06 13:43:55 +0200,2021-11-06 13:43:58 +0200,72,
HKQuantityTypeIdentifierWalkingStepLength,iPhone 13 Pro,15.0,<<HKDevice: 0x280bf81e0> name:iPhone manufacturer:Apple Inc. model:iPhone hardware:iPhone142 software:15.0>,cm,2021-11-07 11:27:25 +0200,2021-11-07 11:16:05 +0200,2021-11-07 11:16:12 +0200,58,
HKQuantityTypeIdentifierWalkingStepLength,iPhone 13 Pro,15.0,<<HKDevice: 0x280bf81e0> name:iPhone manufacturer:Apple Inc. model:iPhone hardware:iPhone142 software:15.0>,cm,2021-11-07 15:47:56 +0200,2021-11-07 15:33:48 +0200,2021-11-07 15:33:52 +0200,53,
HKQuantityTypeIdentifierWalkingStepLength,iPhone 13 Pro,15.0,<<HKDevice: 0x280bf81e0> name:iPhone manufacturer:Apple Inc. model:iPhone hardware:iPhone142 software:15.0>,cm,2021-11-07 19:49:13 +0200,2021-11-07 19:22:41 +0200,2021-11-07 19:22:43 +0200,62,
HKQuantityTypeIdentifierWalkingStepLength,iPhone 13 Pro,15.0,<<HKDevice: 0x280bf81e0> name:iPhone manufacturer:Apple Inc. model:iPhone hardware:iPhone142 software:15.0>,cm,2021-11-07 19:49:13 +0200,2021-11-07 19:44:44 +0200,2021-11-07 19:44:48 +0200,56,
HKQuantityTypeIdentifierWalkingStepLength,iPhone 13 Pro,15.0,<<HKDevice: 0x280bf81e0> name:iPhone manufacturer:Apple Inc. model:iPhone hardware:iPhone142 software:15.0>,cm,2021-11-08 12:58:31 +0200,2021-11-08 11:59:31 +0200,2021-11-08 11:59:41 +0200,62,
HKQuantityTypeIdentifierWalkingStepLength,iPhone 13 Pro,15.0,<<HKDevice: 0x280bf81e0> name:iPhone manufacturer:Apple Inc. model:iPhone hardware:iPhone142 software:15.0>,cm,2021-11-08 12:58:31 +0200,2021-11-08 12:02:24 +0200,2021-11-08 12:02:35 +0200,66,
HKQuantityTypeIdentifierWalkingStepLength,iPhone 13 Pro,15.0,<<HKDevice: 0x280bf81e0> name:iPhone manufacturer:Apple Inc. model:iPhone hardware:iPhone142 software:15.0>,cm,2021-11-08 12:58:31 +0200,2021-11-08 12:03:14 +0200,2021-11-08 12:03:27 +0200,70,
HKQuantityTypeIdentifierWalkingStepLength,iPhone 13 Pro,15.0,<<HKDevice: 0x280bf81e0> name:iPhone manufacturer:Apple Inc. model:iPhone hardware:iPhone142 software:15.0>,cm,2021-11-08 12:58:31 +0200,2021-11-08 12:03:37 +0200,2021-11-08 12:03:40 +0200,52,
